level_0,Date,Close,High,Low,Open,Volume,Month,Year,Daily Price Change,Percentage Price Change,MA7,MA30,Daily Return,Monthly Return,Volatility,High Low Difference
2,2022-06-09,139.83299255371094,145.0384948829892,139.72515664096548,144.18562036487367,69473000,June,2022,-4.3526278111627335,-3.0187669201325678,,,,,,5.313338242023718
3,2022-06-10,134.43138122558594,137.98993516430295,134.3627515970909,137.51938542071767,91437900,June,2022,-3.088004195131731,-2.2455046506239804,,,-3.8629019013879717,-3.8629019013879717,,3.6271835672120574
4,2022-06-13,129.28475952148438,132.53941799813305,128.85341581720851,130.2552678975913,122207100,June,2022,-0.9705083761069204,-0.7450818625392941,,,-3.8284377183219975,-3.8284377183219975,,3.6860021809245325
5,2022-06-14,130.14743041992188,131.25519810555883,128.89262054526836,130.5101594170188,84784300,June,2022,-0.36272899709692297,-0.2779316175209746,,,0.6672641861503736,0.6672641861503736,,2.3625775602904753
6,2022-06-15,132.7648468017578,134.63726323315953,129.5592083618082,131.64728162043858,91533000,June,2022,1.117565181319236,0.8489086653086888,,,2.0111164495455913,2.0111164495455913,,5.078054871351327
7,2022-06-16,127.50051879882812,129.78466802101963,126.50058741056864,129.48077097128098,108123900,June,2022,-1.9802521724528503,-1.5293793492255876,,,-3.965152018583873,-3.965152018583873,,3.284080610450985
8,2022-06-17,128.97100830078125,130.4611001773296,127.2554468176956,127.51033981148552,134520300,June,2022,1.4606684892957276,1.1455294460474472,131.8475625174386,,1.1533204066983327,1.1533204066983327,,3.205653359633999
9,2022-06-21,133.19618225097656,134.36276639582726,130.6963761788774,130.7943992837295,81000500,June,2022,2.4017829672470725,1.8363041387092855,130.89944675990515,,3.276064912465859,3.276064912465859,,3.6663902169498783
10,2022-06-22,132.68643188476562,135.04899374439103,131.27476747959807,132.1374396483602,73409200,June,2022,0.548992236405411,0.4154706174619176,130.6501682826451,,-0.3827064391758839,-0.3827064391758839,,3.774226264792958
11,2022-06-23,135.54898071289062,135.86267563561398,132.96093402675356,134.1275183400123,72433800,June,2022,1.4214623728783238,1.059784293686048,131.54505702427454,,2.157378706672164,2.157378706672164,,2.9017416088604193
12,2022-06-24,138.87225341796875,139.117333627322,137.01944763359853,137.1468791706762,89116800,June,2022,1.7253742472925637,1.2580484935026297,132.79146030970983,,2.451713533809019,2.451713533809019,,2.09788599372348
13,2022-06-27,138.87225341796875,140.66624234545563,138.19582964679236,139.89178050713437,70207900,June,2022,-1.0195270891656207,-0.7287969925535587,133.66394696916853,,0.0,0.0,,2.4704126986632673
14,2022-06-28,134.73532104492188,140.59763645444562,134.61768731128618,139.33302894232776,67083400,June,2022,-4.597707897405883,-3.2997975658082837,134.69749014718192,,-2.9789481132676654,-2.9789481132676654,,5.979949143159445
15,2022-06-29,136.49009704589844,137.90176176618252,133.9804775247322,134.75493953918553,66242400,June,2022,1.735157506712909,1.2876392603095197,135.77164568219865,,1.3023875160333764,1.3023875160333764,,3.9212842414503086
